pk_feature_id,city_code,city_name,city_area,parcel_area,percentage,household
54000000000483,2302021578,دماوند,26279666.50387776,21504515.322591696,81.82948333616999,50642
54000000000870,0214022119,چمستان,7330823.6658430835,4214478.50877479,57.48983607956013,15931
54000000000871,0415021243,پلدشت,2644494.234517432,2613631.588125415,98.8329471099169,9514
54000000000872,2406022166,اصلاندوز,1440765.7668906031,1440765.766891051,100.0000000000311,3965
54000000000873,2406011231,پارس آباد,23993973.70695407,11401410.618703548,47.51780908803416,90718
54000000000874,0315032545,آبش احمد,937364.4954481985,934374.2018139809,99.68098923644555,2658
54000000000875,0326012332,خمارلو,1325588.5455081947,1325553.3085622287,99.99734178859002,1896
54000000000876,0401032404,سرو,1545761.1887314897,470278.80993071775,30.423768778710663,1754
54000000000951,0223021152,فريدونكنار,9737148.101952342,9648303.790027875,99.08757357909906,37825
54000000000952,0218012395,سرخرود,6861107.298902934,4439272.4719381,64.70198290949222,20113
54000000000953,0216021151,بابلسر,20232104.77362801,18347512.10564877,90.68513785853979,62968
54000000000954,0904022562,كاريز,1935720.5716056307,1928883.7663280999,99.64680825436184,5316
54000000000955,2904022643,اسفدن,2161627.0058725914,1899970.5631011447,87.89539351328455,1059
54000000000956,1023012203,جندق,2480782.764473123,2480782.7644743635,100.00000000005001,4865
54000000000957,2903011354,سربيشه,3029098.437768725,2372975.0729133794,78.33931850235098,5451
54000000000958,0931022610,يونسي,1017298.9886096307,1017298.9886064606,99.99999999968838,2433
54000000000959,0931011382,بجستان,3571999.253707189,0,0,0
54000000001064,0917042041,بار,1690262.1144629964,1681348.146403599,99.47262806264641,1161
54000000001065,0918012068,گلمكان,4112388.1753041893,4111051.0581062804,99.96748562779315,1903
54000000001066,0928021391,كلات,2359479.1330419327,2072686.1714892094,87.84507319702469,5404
54000000001067,2001012263,اميريه,1668069.0178869634,0,0,0
54000000001068,2705022018,جلين,1495784.7640678044,1288519.967896119,86.143407718098,4995
54000000001069,2807012053,ايور,1853458.6986002212,1853458.6985999458,99.99999999998514,3450
54000000001071,2705021181,گرگان,32563257.901334524,32225120.48090617,98.9615983098101,228062
54000000001072,2901041355,بيرجند,35600679.19818937,33032169.51561374,92.78522280915847,142796
54000000000487,2304011582,فشم,3084084.2809426957,2433150.522184746,78.89377528428042,7610
54000000000488,2302022269,آبسرد,2450741.1722023776,1895331.8750588791,77.33708873694012,6439
